Movie number,genre ,rating
1,F,6.7
2,F,6.4
3,F,6.5
4,F,5
5,F,6.5
6,F,5.9
7,F,8
8,F,4.4
9,F,6
10,F,5.6
11,F,3.1
12,F,6.3
13,F,6.5
14,F,7.4
15,F,3.5
16,F,6.8
17,F,6.8
18,F,7.8
19,F,5.5
20,F,3.9
21,F,6.2
22,F,7.8
23,F,6.9
24,F,5.1
25,F,7.1
26,F,5.5
27,F,3.9
28,F,5.1
29,F,6.7
30,F,6.3
31,F,6.1
32,F,6.5
33,F,5.3
34,F,5.7
35,F,7.2
36,F,5.7
37,F,6.5
38,F,5.4
39,F,4.6
40,F,5.5
41,D,7.1
42,D,6.6
43,D,6.6
44,D,7
45,D,5.4
46,D,7.2
47,D,4.9
48,D,7.5
49,D,6.3
50,D,7
51,D,7.2
52,D,3.1
53,D,7
54,D,6.9
55,D,9.4
56,D,5.1
57,D,5.1
58,D,6.9
59,D,7
60,D,6.6
61,D,6.9
62,D,7.4
63,D,6.5
64,D,7
65,D,6.8
66,D,5.5
67,D,7.1
68,D,6.1
69,D,8
70,D,6.1
71,D,5
72,D,7
73,D,7.5
74,D,8.3
75,D,7.5
76,D,7.7
77,D,6.1
78,D,6.6
79,D,7.9
80,D,6.8
